product,rating,rating count,price,product url
"Burt's Bees Baby baby-boys Sleep and Play Pajamas, 100% Organic Cotton One-piece Romper Jumpsuit Zip Front Pjs  ",4.8 out of 5 stars,"16,500  ",8.62,https://amazon.com/Burts-Bees-Baby-One-Piece-Jumpsuit/dp/B07MBJ7BZ6/ref=sr_1_22?keywords=clothing&qid=1682122003&sr=8-22
"Amazon Essentials Women's Classic-Fit Short-Sleeve Crewneck T-Shirt, Multipacks  ",4.4 out of 5 stars,"43,803  ",19.0,https://amazon.com/Amazon-Essentials-Short-Sleeve-Crewneck-T-Shirt/dp/B07756DPMZ/ref=sr_1_23?keywords=clothing&qid=1682122003&sr=8-23
Nike Men's Soccer Park III Shorts  ,4.1 out of 5 stars,"5,971  ",23.37,https://amazon.com/Nike-Soccer-Shorts-Small-Black/dp/B087LWNKFB/ref=sr_1_24?keywords=clothing&qid=1682122003&sr=8-24
Gerber baby-boys 8-pack Short Sleeve Onesies Bodysuits  ,4.8 out of 5 stars,"8,712  ",21.99,https://amazon.com/Gerber-8-Pack-Sleeve-Onesies-Bodysuits/dp/B08CQS273G/ref=sr_1_25?keywords=clothing&qid=1682122003&sr=8-25
OVESPORT Workout Shorts for Women Scrunch Butt Lifting High Waisted Yoga Gym Seamless Booty Biker Shorts  ,4.5 out of 5 stars,484  ,32.99,https://amazon.com/OVESPORT-Workout-Scrunch-Lifting-Seamless/dp/B0BD87CNBF/ref=sr_1_26?keywords=clothing&qid=1682122003&sr=8-26
"Simple Joys by Carter's Babies, Toddlers, and Boys' Short-Sleeve Pocket Henley Tee Shirt, Pack of 3  ",4.8 out of 5 stars,"8,396  ",29.6,https://amazon.com/Simple-Joys-Carters-Toddler-3-Pack/dp/B075X6CQK7/ref=sr_1_27?keywords=clothing&qid=1682122003&sr=8-27
"Amazon Essentials Men's Performance Tech Loose-Fit Shorts (Available in Big & Tall), Multipacks  ",4.6 out of 5 stars,"60,798  ",18.32,https://amazon.com/Amazon-Essentials-2-Pack-Loose-Fit-Performance/dp/B08JLCW7VN/ref=sr_1_28?keywords=clothing&qid=1682122003&sr=8-28
"Gildan Men's Crew T-Shirts, Multipack, Style G1100  ",4.6 out of 5 stars,"250,317  ",19.99,https://amazon.com/Gildan-Mens-T-Shirt-Assortment-X-Large/dp/B077ZJXCTS/ref=sr_1_29?keywords=clothing&qid=1682122003&sr=8-29
"QIANXIZHAN Women's Harem Pants, High Waist Yoga Boho Trousers with Pockets  ",4.4 out of 5 stars,"11,057  ",25.95,https://amazon.com/QIANXIZHAN-Pants-Yoga-Trousers-Pockets/dp/B09DKXVVCQ/ref=sr_1_30?keywords=clothing&qid=1682122003&sr=8-30
Amazon Essentials Women's Lightweight Open-Front Cardigan Sweater (Available in Plus Size)  ,4.4 out of 5 stars,"16,282  ",28.5,https://amazon.com/Amazon-Essentials-Open-Front-Cardigan-Sweater/dp/B07F2HXZ4Y/ref=sr_1_31?keywords=clothing&qid=1682122003&sr=8-31
Newborn Infant Baby Girl Clothes Set Long Sleeve Sweatshirts Tops Pants Outfits Clothing Gifts 3 6 9 12 18 24 Months  ,4.6 out of 5 stars,"4,125  ",19.99,https://amazon.com/Flower-Newborn-Clothes-Sweatshirts-Outfits/dp/B08FQX9ZKD/ref=sr_1_32?keywords=clothing&qid=1682122003&sr=8-32
The Children's Place Baby Boys' and Toddler Short Sleeve Pique Polo  ,4.7 out of 5 stars,"9,211  ",3.99,https://amazon.com/Childrens-Place-Sleeve-Uniform-18-24MONTH/dp/B074D9B8XH/ref=sr_1_33?keywords=clothing&qid=1682122003&sr=8-33
Sundwudu 4 Pack Biker Shorts for Women - 8” High Waist Tummy Control Summer Workout Shorts for Running Yoga Athletic  ,4.5 out of 5 stars,"7,332  ",23.99,https://amazon.com/Sundwudu-Pack-Biker-Shorts-Women/dp/B09ST7KQW7/ref=sr_1_34?keywords=clothing&qid=1682122003&sr=8-34
Simple Joys by Carter's Toddlers and Baby Girls' 3-Piece Playwear Set  ,4.8 out of 5 stars,"7,849  ",20.0,https://amazon.com/Simple-Joys-Carters-Playwear-Chambray/dp/B07ZPQ3B9X/ref=sr_1_35?keywords=clothing&qid=1682122003&sr=8-35
Yovela Womens High Waisted Baggy Sweatpants Comfy Cotton High Waist Jogger Pants Y2k Trendy Lounge Trousers with Pockets  ,4.1 out of 5 stars,"2,919  ",27.99,https://amazon.com/Yovela-Womens-Athletic-Sweatpants-Pockets/dp/B09BFD1H3C/ref=sr_1_36?keywords=clothing&qid=1682122003&sr=8-36
"Simple Joys by Carter's Babies, Toddlers, and Boys' Knit Shorts, Multipacks  ",4.8 out of 5 stars,"14,517  ",23.1,https://amazon.com/Simple-Joys-Carters-3-Pack-Shorts/dp/B07GP3J9QB/ref=sr_1_37?keywords=clothing&qid=1682122003&sr=8-37
The Drop Women's Cindy Short Puff-Sleeve Crewneck Sweater  ,3.9 out of 5 stars,540  ,14.95,https://amazon.com/Drop-Womens-Cindy-Sleeve-Sweater/dp/B09GVW7YLV/ref=sr_1_38?keywords=clothing&qid=1682122003&sr=8-38
Gerber baby-girls 5-pack Short Sleeve Variety Onesies Bodysuits  ,4.8 out of 5 stars,"14,382  ",13.95,https://amazon.com/GERBER-Variety-Onesies-Bodysuits-Princess/dp/B07QMP3BQ6/ref=sr_1_39?keywords=clothing&qid=1682122003&sr=8-39
"Hudson Baby Unisex Baby Plush Animal Face Bathrobe, Pretty Elephant, 0-9 Months  ",4.8 out of 5 stars,"34,844  ",10.99,https://amazon.com/Hudson-Baby-Animal-Bathrobe-Elephant/dp/B074P49GC8/ref=sr_1_40?keywords=clothing&qid=1682122003&sr=8-40
Boao 4 Pieces Basic Crop Tank Tops Sleeveless Racerback Crop Sport Top for Women  ,4.5 out of 5 stars,"42,297  ",24.99,https://amazon.com/Pieces-Sleeveless-Racerback-Cotton-Medium/dp/B07TB5X4ZQ/ref=sr_1_41?keywords=clothing&qid=1682122003&sr=8-41
Gerber baby-boys 4 Pack Sleep 'N Play Footie  ,4.7 out of 5 stars,"41,686  ",23.99,https://amazon.com/Gerber-Sleep-Footie-Jungle-Months/dp/B08BV2M73D/ref=sr_1_42?keywords=clothing&qid=1682122003&sr=8-42
Gerber Baby Girls' 4 Pack Sleep 'N Play Footie  ,4.7 out of 5 stars,"43,578  ",22.31,https://amazon.com/Gerber-Footie-Toddler-Sleepers-Smiley/dp/B07GFNVD8V/ref=sr_1_43?keywords=clothing&qid=1682122003&sr=8-43
